04-06-2021 14:02:11.927,-,AT,",0000100B00000A53,9XTend Hopping (version B),2004,COM5 - 9600/8/N/1/N,5,63"
04-06-2021 14:01:08.256,4232,RECV,363B30313A30323A3433
04-06-2021 14:01:10.131,4233,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30313B392E34373B3130313133332E
04-06-2021 14:01:10.195,4234,RECV,33303B3131362E33383B3435343436393132353B2D3733363933393633393B30313A30323A3435
04-06-2021 14:01:12.074,4235,RECV,2D33
04-06-2021 14:01:12.138,4236,RECV,2E35363B302E30303B302E30303B2D302E35393B2D302E30333B392E34333B3130313133322E39373B3131362E34303B3435343436393132363B2D373336
04-06-2021 14:01:12.202,4237,RECV,3933393633383B30313A30323A3437
04-06-2021 14:01:14.145,4238,RECV,2D332E35363B302E30303B302E30303B2D302E35
04-06-2021 14:01:14.207,4239,RECV,393B302E30303B392E34343B3130313133332E33343B3131362E33373B3435343436393132363B2D3733363933393634333B30313A30323A3439
04-06-2021 14:01:16.143,4240,RECV,2D332E35363B302E30303B302E30303B2D302E36313B302E30303B392E34323B3130313133322E36373B3131362E34333B
04-06-2021 14:01:16.205,4241,RECV,3435343436393132373B2D3733363933393634383B30313A30323A3531
04-06-2021 14:01:18.147,4242,RECV,2D332E35363B302E30303B302E30303B2D302E35393B302E30303B392E34343B3130313133322E35313B3131362E34343B3435343436393134333B2D
04-06-2021 14:01:18.211,4243,RECV,3733363933393634383B30313A30323A3533
04-06-2021 14:01:20.167,4244,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30343B392E34333B3130313133322E34313B3131
04-06-2021 14:01:20.230,4245,RECV,362E34353B3435343436393134353B2D3733363933393635363B30313A30323A3535
04-06-2021 14:01:22.118,4246,RECV,2D332E35363B302E30303B302E30303B2D302E36303B302E30303B392E33393B31
04-06-2021 14:01:22.180,4247,RECV,30313133312E39313B3131362E34393B3435343436393135323B2D3733363933393635373B30313A30323A3537
04-06-2021 14:01:24.063,4248,RECV,2D332E35363B302E30303B302E30
04-06-2021 14:01:24.127,4249,RECV,303B2D302E36303B2D302E30333B392E34343B3130313133312E37353B3131362E35303B3435343436393135333B2D3733363933393636323B30313A3032
04-06-2021 14:01:24.191,4250,RECV,3A3539
04-06-2021 14:01:26.145,4251,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30323B392E34
04-06-2021 14:01:26.209,4252,RECV,353B3130313133312E34313B3131362E35333B3435343436393135363B2D3733363933393636313B30313A30333A3031
04-06-2021 14:01:28.108,4253,RECV,2D332E35363B302E30303B302E30303B2D30
04-06-2021 14:01:28.172,4254,RECV,2E36303B302E30303B392E34333B3130313133312E30393B3131362E35363B3435343436393135393B2D3733363933393636363B30313A30333A3033
04-06-2021 14:01:30.059,4255,RECV,2D332E35363B302E30303B302E30303B2D302E
04-06-2021 14:01:30.123,4256,RECV,36303B2D302E30333B392E34333B3130313133302E39323B3131362E35373B3435343436393136393B2D3733363933393636373B30313A30333A3035
04-06-2021 14:01:32.134,4257,RECV,2D332E35363B302E30303B302E30303B2D302E36303B302E30303B392E3433
