We are writingRTC is not running
Initialized
Temp: 26.39, Pressure:101011.34, Altitude(BMP,m):126.53,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469267,Longitude:-736939702,Altitude(GPS,m):13,Time:15:54:28

Temp: 26.40, Pressure:101011.61, Altitude(BMP,m):126.50,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469269,Longitude:-736939694,Altitude(GPS,m):13,Time:15:54:30

Temp: 26.40, Pressure:101012.03, Altitude(BMP,m):126.47,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469269,Longitude:-736939685,Altitude(GPS,m):13,Time:15:54:32

Temp: 26.40, Pressure:101011.53, Altitude(BMP,m):126.51,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469266,Longitude:-736939675,Altitude(GPS,m):13,Time:15:54:34

Temp: 26.40, Pressure:101011.80, Altitude(BMP,m):126.49,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469262,Longitude:-736939669,Altitude(GPS,m):13,Time:15:54:36

Temp: 26.41, Pressure:101012.62, Altitude(BMP,m):126.42,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469258,Longitude:-736939664,Altitude(GPS,m):13,Time:15:54:38

Temp: 26.41, Pressure:101013.05, Altitude(BMP,m):126.38,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469255,Longitude:-736939661,Altitude(GPS,m):13,Time:15:54:40

Temp: 26.41, Pressure:101012.55, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469246,Longitude:-736939658,Altitude(GPS,m):14,Time:15:54:42

Temp: 26.41, Pressure:101012.74, Altitude(BMP,m):126.41,Pitch:-3.56,Roll:0.19,Yaw:359.94,Latitude:454469242,Longitude:-736939645,Altitude(GPS,m):14,Time:15:54:44

Temp: 26.42, Pressure:101013.14, Altitude(BMP,m):126.38,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469233,Longitude:-736939636,Altitude(GPS,m):14,Time:15:54:46

Temp: 26.42, Pressure:101013.73, Altitude(BMP,m):126.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469248,Longitude:-736939644,Altitude(GPS,m):14,Time:15:54:48

Temp: 26.42, Pressure:101013.40, Altitude(BMP,m):126.35,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469246,Longitude:-736939647,Altitude(GPS,m):13,Time:15:54:50

Temp: 26.42, Pressure:101013.73, Altitude(BMP,m):126.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469243,Longitude:-736939654,Altitude(GPS,m):14,Time:15:54:52

Temp: 26.42, Pressure:101013.73, Altitude(BMP,m):126.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469224,Longitude:-736939642,Altitude(GPS,m):13,Time:15:54:54

Temp: 26.42, Pressure:101013.73, Altitude(BMP,m):126.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469229,Longitude:-736939639,Altitude(GPS,m):13,Time:15:54:56

Temp: 26.42, Pressure:101013.73, Altitude(BMP,m):126.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469246,Longitude:-736939642,Altitude(GPS,m):13,Time:15:54:58

Temp: 26.42, Pressure:101013.07, Altitude(BMP,m):126.38,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469256,Longitude:-736939648,Altitude(GPS,m):13,Time:15:55:0

Temp: 26.42, Pressure:101012.90, Altitude(BMP,m):126.40,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469269,Longitude:-736939655,Altitude(GPS,m):13,Time:15:55:2

Temp: 26.42, Pressure:101012.57, Altitude(BMP,m):126.42,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469275,Longitude:-736939651,Altitude(GPS,m):13,Time:15:55:4

Temp: 26.42, Pressure:101012.23, Altitude(BMP,m):126.45,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469278,Longitude:-736939652,Altitude(GPS,m):13,Time:15:55:6

Temp: 26.42, Pressure:101012.50, Altitude(BMP,m):126.43,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469281,Longitude:-736939639,Altitude(GPS,m):13,Time:15:55:8

Temp: 26.42, Pressure:101011.58, Altitude(BMP,m):126.51,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469272,Longitude:-736939619,Altitude(GPS,m):13,Time:15:55:10

Temp: 26.42, Pressure:101011.50, Altitude(BMP,m):126.51,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469264,Longitude:-736939596,Altitude(GPS,m):13,Time:15:55:12

Temp: 26.42, Pressure:101010.67, Altitude(BMP,m):126.58,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469264,Longitude:-736939577,Altitude(GPS,m):13,Time:15:55:14

Temp: 26.42, Pressure:101009.94, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469257,Longitude:-736939563,Altitude(GPS,m):13,Time:15:55:16

Temp: 26.42, Pressure:101009.77, Altitude(BMP,m):126.66,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469254,Longitude:-736939553,Altitude(GPS,m):13,Time:15:55:18

Temp: 26.42, Pressure:101010.27, Altitude(BMP,m):126.62,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469248,Longitude:-736939544,Altitude(GPS,m):14,Time:15:55:20

Temp: 26.43, Pressure:101010.83, Altitude(BMP,m):126.57,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469234,Longitude:-736939544,Altitude(GPS,m):14,Time:15:55:22

Temp: 26.43, Pressure:101010.00, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469233,Longitude:-736939543,Altitude(GPS,m):14,Time:15:55:24

Temp: 26.43, Pressure:101009.94, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469231,Longitude:-736939539,Altitude(GPS,m):14,Time:15:55:26

Temp: 26.43, Pressure:101009.95, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469234,Longitude:-736939545,Altitude(GPS,m):14,Time:15:55:28

Temp: 26.44, Pressure:101010.02, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469242,Longitude:-736939561,Altitude(GPS,m):14,Time:15:55:30

Temp: 26.44, Pressure:101009.79, Altitude(BMP,m):126.65,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469241,Longitude:-736939568,Altitude(GPS,m):14,Time:15:55:32

Temp: 26.44, Pressure:101009.29, Altitude(BMP,m):126.70,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469249,Longitude:-736939573,Altitude(GPS,m):14,Time:15:55:34

Temp: 26.44, Pressure:101009.38, Altitude(BMP,m):126.69,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469251,Longitude:-736939579,Altitude(GPS,m):14,Time:15:55:36

